id,"beeld","link","alt",dames,heren,junior,fashion,outdoor,uitrusting,fietsenlopen,gadgets,hoofdcategorie
149,"VROUW_DEKEN.jpg","test","test",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
150,"VROUW_ACHTER.jpg","test","test",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,10
151,"MAN_VAAG_VAARN.jpg","test","test",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
152,"BERG.jpg","test","test",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60
153,"MAN_ROTSEN.jpg","test","test",NULL,NULL,NULL,NULL,1,2,NULL,NULL,50
154,"VISNETTEN.jpg","test","test",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
155,"STENEN.jpg","test","test",NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,100
156,"MAN_TREKKING.jpg","test","test",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40
157,"MAN_FOTO.jpg","test","test",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
158,"VROUW_TREKKING.jpg",NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,30
159,"MAN_BIJL.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
160,"VROUW_FASHION.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
161,"MAN_AYA.jpg",NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,100
162,"BIKE.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,100
163,"UITRUSTING.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,100
164,"UITRUSTING_BOOT.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,100
165,"MAN_FASHION.jpg",NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,20
166,"GADGETS.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,70
167,"KIND_SCHAAP.jpg",NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,100
